,amaiz,asorg,arice,apuls,agnut,aoils,acass,aroot,avege,asugr,atoba,acott,afrui,acoco,acoff,aocrp,acatt,apoul,aoliv,afore,afish,acoil,aomin,ameat,afveg,afoil,agmll,asref,afood,abeve,aptob,atext,aclth,aleat,awood,apetr,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,households,government,investment,exports,imports,stock changes
atran,34.04883379,20.8559635,24.23560011,3.313275113,5.855222306,28.60634418,42.78935716,48.95054059,175.9818941,7.721666445,0.104791462,13.15383262,228.339237,264.3264221,0.71919006,28.30334865,30.90304645,102.9450551,22.34371416,475.7071576,95.91570031,340.1059757,1494.963059,296.7191101,30.26676904,79.46155082,338.91016,23.50323294,239.5268148,150.3750251,2.422461323,171.8222718,291.4481983,30.83935195,79.95822459,348.6120311,567.2574482,64.52303545,221.3747535,415.5533939,107.2691543,349.0024217,474.293904,22.703572,8047.766084,611.3168161,52.38168173,26.87109625,151.5690134,0,309.5375855,587.5573341,65.67625608,90.53652737,45.55645298,3731.764524,0,0,1810.436557,-3723.882254,0
ahotl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415226898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057244436,0,0,0.045024031,0,0,0,0,0,0,0,63.82633143,0,0,0,0,0,199.3843104,34.74329766,0,67.80569908,242.1210792,463.935224,49.05190972,0,8866.841561,0,0,3602.708554,-2074.228327,0
acomm,0,0,0,0,0,0,0,0,0,0.116094014,0,0,0,0,0,1.531852864,0,0,0,0,0,14.10907108,82.19037562,0,0.544310149,0,0,0.308035508,2.651609022,2.156734447,0.129207608,2.015150071,12.97682018,0.290597827,11.96642107,0,10.71034513,3.213483003,3.276200838,0.337958913,1.106083612,49.40309914,117.6504289,0,388.0094886,58.33293358,0,132.5577088,334.5737405,137.9108669,713.5862378,1423.718968,206.2334498,101.7277132,88.66600334,4276.734165,0,0,0,0,0
afsrv,0,0,0,0,0,0,0,0,0,2.542331421,0,0,0,0,0,10.01154372,0,0,0,0,7.138261716,20.99305512,121.6927609,0,0.376531758,1.810568519,0,1.938841458,1.320001339,3.654258603,0.335249755,6.586774675,0,0.30309817,18.16183744,432.0717511,21.57735032,6.372132239,7.751869628,0.161797185,0.578612738,599.187874,49.26300383,0,452.0244636,314.8402378,17.36850359,1613.456545,1456.530783,481.3482595,1265.201258,509.3479109,0,0,65.35901503,686.7609309,0,0,101.2736237,-387.6924895,0
areal,0,0,0,0,0,0,0,0,0,0.116955394,0,0,0,0,0,1.324036676,49.93650902,0,109.4030737,30.8456848,31.65566372,27.77259545,161.0284424,0,0.289026599,1.989423838,0,0,5.481288492,2.665527352,0,2.161516535,27.42193944,1.317504273,20.61520648,0,14.13669845,3.572527537,2.747445754,0.502958106,2.042119616,180.7478901,0,0,497.9509886,149.9744913,40.25882241,452.3536462,39.42357619,191.5494344,754.4560193,822.1161922,529.7053375,148.0837533,95.89555252,1668.887717,0,0,0,0,0
absrv,0,0,0,0,0,0,0,0,0,0.587718783,0,1.773971176,0,0,0,5.973184605,0,0,0,12.14520841,0,1046.591765,4345.939494,0.61547458,0,0,0,1.230262108,2.184855607,20.67794209,0.534270116,5.376608999,1.488842385,0.751014419,7.187390351,0,41.91083659,5.688688355,3.379439738,0.482679788,0.558514911,0,137.6655369,0,100.039811,116.9440522,11.50533054,1709.179295,329.0669036,408.2015505,1181.743372,387.9054717,264.7202798,24.45724721,49.84646022,1119.918476,0,0,13255.19237,-13856.92288,0
apadm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.5385709,0,0,0,0,0,0,0,0,0,351.1624003,16219.82501,0,479.9035326,-2624.080266,0
aeduc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742.0892115,878.9055357,151.6754927,0,3913.196466,3353.093045,0,0,0,0
aheal,0,0,0,0,0,0,0,0,0,0.21092157,0,0,0,0,0,1.960252828,350.2622401,83.88078653,52.98917585,0,0,0,0,0,0,0,0,0.380726575,0,0,0.174147386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06416805,0,0,90.13459506,0,0,0,217.1277053,2767.620549,0,0,0,0
aosrv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03865119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.73864134,0,0,0,0,0,0,6529.193687,0,0,0,0,0
wage bill,1033.857092,517.0730603,672.9408136,245.828473,220.5947816,404.9759873,844.3508673,738.4349137,701.5028697,10.6684379,1.832489947,45.6902223,962.6146727,1384.139167,1.156177329,31.55683893,15.79553429,150.8928072,15.89478475,420.7618613,232.8566275,1413.621924,456.2382331,42.64051146,14.38092255,56.63807551,216.292571,9.17080507,85.94596836,151.3885869,1.778883723,110.3318372,34.78620291,2.529132544,250.9150537,34.66039781,163.428019,523.7629444,112.9002718,8.734117213,110.7824272,78.64924863,56.08866874,2584.106716,4221.933417,4887.994828,2334.406472,698.7902961,1794.640719,36.1585944,1144.108527,4231.880336,4757.95941,1366.130091,2548.63226,,,,,,
